*Action(SiteID=eBayMotors|Country=US|Currency=USD|Version=403|CC=UTF-8),ItemID,Relationship,RelationshipDetails
,,Compatibility,"Year=1994|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, Natural; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Chevrolet|Model=Sprint|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Canada; Direct-Fit 49 State (Exc CA); Exc w/Sway Bar; VIN: 6, Natural; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Chevrolet|Model=Sprint|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Canada; Direct-Fit 49 State (Exc CA); Exc w/Sway Bar; VIN: 6, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Chevrolet|Model=Sprint|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Canada; Direct-Fit 49 State (Exc CA); Exc w/Sway Bar; VIN: 6, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); GA, GS; SOHC; VIN: 3, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1992|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1989|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Chevrolet|Model=Sprint|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Canada; Direct-Fit 49 State (Exc CA); Exc w/Sway Bar; VIN: 6, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Geo|Model=Metro|Engine=1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, TBI, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Chevrolet|Model=Sprint|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Canada; Direct-Fit 49 State (Exc CA); Exc w/Sway Bar; VIN: 6, Natural; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
,,Compatibility,"Year=1990|Make=Suzuki|Model=Swift|Engine=1.3L 1298CC 79Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Base, GA, GL, L, S; Direct-Fit 49 State (Exc CA); SOHC; VIN: 3, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1991|Make=Pontiac|Model=Firefly|Engine=1.0L 993CC 61Cu. In. l3 GAS Naturally Aspirated|Notes=Catalytic Converter; AT; Direct-Fit 49 State (Exc CA); VIN: 6, Natural; w/Sway Bar; Catalytic Converter"
Revise,22626
,,Compatibility,"Year=1997|Make=Suzuki|Model=Sidekick|Engine=1.8L 1840CC l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); VIN: 2, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1998|Make=Suzuki|Model=Sidekick|Engine=1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); JS, JX; VIN: 0, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Sidekick|Engine=1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; 4Dr; Direct-Fit 49 State (Exc CA); VIN: 0, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1994|Make=Suzuki|Model=Sidekick|Engine=1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; 4Dr; Direct-Fit 49 State (Exc CA); VIN: 0, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1996|Make=Suzuki|Model=Sidekick|Engine=1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); VIN: 0, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1993|Make=Suzuki|Model=Sidekick|Engine=1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; 4Dr; Direct-Fit 49 State (Exc CA); VIN: 0, TBI, Natural; Catalytic Converter"
,,Compatibility,"Year=1996|Make=Suzuki|Model=Sidekick|Engine=1.8L 1840CC l4 GAS DOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); VIN: 2, MFI, Natural; Catalytic Converter"
,,Compatibility,"Year=1997|Make=Suzuki|Model=Sidekick|Engine=1.6L 1590CC 97Cu. In. l4 GAS SOHC Naturally Aspirated|Notes=Catalytic Converter; Direct-Fit 49 State (Exc CA); VIN: 0, MFI, Natural; Catalytic Converter"
